hand,small blind,big blin,under the gun,under the gun +1,under the gun +2,lojack,hijack,cutoff,button
22,f,f,f,f,f,r,f,f,f
33,f,f,f,f,f,r,r,f,r
44,r,f,f,f,f,r,r,f,f
55,f,f,r,f,f,r,f,r,r
66,f,f,f,r,r,r,f,r,r
77,f,f,r,r,r,r,r,r,r
88,r,r,r,r,r,r,r,r,r
99,r,r,r,r,r,r,r,r,r
A2s,f,f,f,f,r,r,f,r,r
A3s,f,r,f,r,r,f,r,r,r
A4s,f,f,r,r,r,r,r,r,r
A5s,r,r,r,r,f,r,r,r,r
A6s,r,f,f,r,f,r,f,r,r
A7s,f,f,r,r,f,r,r,r,r
A8s,f,f,r,r,r,r,r,r,r
A9s,r,r,r,r,r,r,r,r,r
AA,r,r,r,r,r,r,r,r,r
AJ,r,r,r,r,r,r,r,r,r
AJs,r,r,r,r,r,r,r,r,r
AK,r,r,r,r,r,r,r,r,r
AKs,r,r,r,r,r,r,r,r,r
AQ,r,r,r,r,r,r,r,r,r
AQs,r,r,r,r,r,r,r,r,r
AT,f,f,f,f,r,f,r,f,r
ATs,r,r,r,r,r,r,r,r,r
JJ,r,r,r,r,r,r,r,r,r
K6s,f,f,f,r,f,f,r,r,f
K7s,f,f,f,f,r,f,f,r,f
K8s,f,f,f,f,f,f,r,r,r
K9s,f,f,f,r,r,r,r,r,r
KJ,f,f,f,f,f,r,r,r,r
KJs,r,r,r,r,r,r,r,r,r
KK,r,r,r,r,r,r,r,r,r
KQ,r,f,r,r,r,r,r,r,r
KQs,r,r,r,r,r,r,r,r,r
KT,f,f,f,f,f,f,f,r,r
KTs,r,r,r,r,r,r,r,r,r
QQ,r,r,r,r,r,r,r,r,r
TT,r,r,r,r,r,r,r,r,r
